kata_lama,kata_baru
banget,kali
dgn,dengan
buset,astaga
gimna,gimana
asik²an,asik-asikan
klo,kalo
pingin,pengen
nyanyi²,nyanyi-nyanyi
mantappps,mantap
mksih,terima kasih
nggak,tidak
copot,lepas
pakek,pakai
gak,tidak
putus²,putus-putus
kjra,kira
ttp,tetap
aski,asli
mo,mau
bli,beli
jan,jangan
sayng,sayangnya
keluppaan,kelupaaan
lagsg,langsung
bsa,bisa
bbrp,beberapa
sya,saya
tak,di
tp,tapi
trimakasih,terima kasih
dlu,dulu
pengepakan,pengemasan
Trim,terima kasih
Trims,terima kasih
Yudah,yaudah
gpp,gapapa
msh,masih
gk,tidak
gak,tidak
Pdhal,padahal
yg,yang
asik,seru
