komentar,hasil_translate,label
Fitur Terbaik: kecil kali ukurannya astaga dah Sepadan dengan Harga: harganya murah tapi barangnya kecil sangat  Ya ampun barangnya kecil kali  Kira atidak besar an barangnya  Ya mau gimana lagi  Hedeh,"Best Features: small times the size is good at the price: the price is cheap but the item is very small, geez, the item is small, I don't think it is big, what else can I do it, what else to do it, what else, what else",Positif
"Produk berfungsi dengan sangat baik 🤩 asik buat asik-asikan biasa di rumah kalo lagi pengen nyanyi-nyanyi dapat free mic pula, mantap, terima kasih seller","Products work very well 🤩 Asik to make regular fun at home if you sing it for free mic, well, thank you Seller",Positif
"Fitur Terbaik: barang cacat Sepadan dengan Harga: tidak sesuai  Barang datangnya tidak sesuai ekspektasi sound yang di tengah lepas jadi suaranya kresek"" malah tidak bisa di pakai langsung komplain malah di suruh perbaiki sendiri kan malah rugi mudah-mudahan selalu di lariskan ya dagangannya terus jangangan sombong sama pembeli setidaknya ada tanggung jawabnya","Best Features: Goods are vivable with prices: Not according to the goods coming not according to the expectations of the sound in the middle of the free so the sound is crackle ""even can not be used immediately complaints instead of being told to fix it yourself, but hopefully it will always be in demand, the merchandise continuesarrogant with buyers at least there is a responsibility",Positif
"3x berturut beli disini tidak pernah mengecewakan, sekali buka saudara juga pengen beli lagi, sekali buka yang kedua ehhh temen ada yang pengen beli lagi sekalian 2,, dan yang ketiga ini sekalian beli 2 biar tidak ada yang mupeng lagi,,, Harga setara dengan produknya,,","3x in a row buying here never disappointing, once you open you also want to buy again, once open the second ehhh, friends who want to buy again as well as 2, and the third is as well as buying 2 so that no one is mupeng anymore ... the price is equivalent tothe product ,,",Positif
"Fitur Terbaik: tidak Sepadan dengan Harga: tidak  Saya beli pertama kali memang bagus pas beli yang kedua kalinya sangat mengecewakan karna barang baru datang pas saya unboxing suaranya putus-putus gabisa lancar saya kira baterainya habis setelah dicas tetap saja, Saya coba lihat ditukang servis ternyata baterai dalmnya yang bermasalah asli kecewa bet sih buat kalian yang mau beli jangan lupa di video unboxing diutnya","Best feature: Not commensurate with the price: I don't buy the first time it is good when buying the second time is very disappointing because the new item comes when I unboxing the sound is not smooth, I think the battery runs out after it is still still, I try to see the service.the battery in the original problematically disappointed bet for those of you who want to buy, don't forget in the unboxing video",Positif
Fitur Terbaik: baik Sepadan dengan Harga: iya  bagus realpict barangnya bagus pengriman cepat tapi sayangnya aku checkoutnya kurang atau kelupaaan beli bubble wrap nya alhasil baru dipakai mic nya langsung rusak next time kalau checkout tidak akan pernah ketinggalan yang namanya buble wrap😭 nyesel sekarang padahal suaranya gede kali walaupun barangnya kecil😭 thanks seller next pasti order lagi,"Best features: good commensurate with the price: yes good realpict the goods are good fast, but unfortunately I checkout lack or benefits to buy bubble wrap, as a result the mic is used immediately the mic is damaged next time if the checkout will never miss the name buble wrap enough now even though the soundbig times even though the item is small. Thanks for seller next, definitely order again",Positif
"Untuk speaker nya sih berfungsi baik ya tapi tombol untuk besarin volume nya rusak ga bisa di tekan, dan mic nya juga baru di pake langsung rusak, jadi mesti beli mic lagi deh,, Huhuhu Respon seller lama kalitt, semauga ke depannya bisa lebih fast respon yaa : )   Terima kasih ka","For the speaker, it works well, but the button for the large volume is damaged, it can't be pressed, and the mic is also used immediately damaged, so I have to buy a mic again, huhuhu the old seller response is Kalitt, after all in the future it can be more fast responseyaa :) Thank you ka",Positif
"Yg ini juga mantap,, Udh beberapa unit BT speaker yang saya beli di sini dan tidak ada yang mengecewakan 1 pun semua nya memuaskan, Udah berlangganan juga dsni","This one is also great ,, already a number of BT Speaker units that I bought here and no one disappoints 1 is all satisfying, already subscribed to DSNI too",Positif
"Fitur Terbaik: produk terburuk Sepadan dengan Harga: harga murah tapi kwalitas nol  Maaf di kasih bintang satu, soalnya produk yang di kirim mengecewakan kali, Udah tidak bisa nyala tanpa di charger dan bluetooth tidak berfungsi dengan baik malah keluar suara begitu, Setidaknya kalau tidak ada garansi bisa dicek dan dicoba dulu produk sebelum di kemas dan dikirim,","Best Features: The worst product is commensurate with the price: cheap prices but the quality of zero sorry in the one star loved, because the product sent is disappointing, it can't turn on without charger and bluetooth does not function properly instead of such a sound, at least if it doesn't existThe warranty can be checked and tried the product before it is packaged and sent,",Positif
Fitur Terbaik: bagus murah pengiriman cepat Sepadan dengan Harga: murah  Murah sangat murah tapi sedikit ada kendala waktu buka dlamnya spekernya lepas tapi bisa di perbaiki terima kasih anak saya sangat suka,Best Features: Good Cheap Fast Shipping Completion With Price: Cheap Cheap Very Cheap But There Are A Little Constraints Open When the Speckers are loose but can be fixed thank you my child is very like,Positif
"Fitur Terbaik: baik Sepadan dengan Harga: sesuai  Sayang bunyi nya macet macet, next kalau mau kirim barang di coba dulu ya, sedikit kecewa aja","Best feature: good commensurate with the price: according to the sound of traffic jams, next if you want to send goods first, just a little disappointed",Positif
"Alhamdulillah paket sudah sampai, pengiriman cepat, sayangnya sound yang di dalam lepas ga nempel, muntidakin karna tidak di beri bubble wrap jadi pengemasan kurang aman sehingga barang ada kerusakan, Mohon di tintidakatkan lagi🙏🏻","Alhamdulillah, the package has arrived, fast delivery, unfortunately the sound that is in the off is not stuck, muntidakin because it is not given bubble wrap so the packaging is less safe so that the item has damage, please be not used again.",Netral
Barang sudah datang Berfungsi dengan baik Hanya saja pengemasan rawan Ga pakai pelindung apa2 Cuma mic dikasih buble wrap satu lapis aja Untung semuanya baik baik saja terima kasih seller terima kasihs kurir,"The item has come to function well, it's just that packaging is vulnerable to not using any protector, only the mic is given a buble wrap one layer.",Positif
"Fitur Terbaik: kurang baik suara mic nya Sepadan dengan Harga: cocok harga segini  Cocok dengan harga, cuma kurir korupsi, di pesanan cuma 53,kurir melebih lebihkan ,yaudah gapapa hehe","Best Features: Not good sound mic is commensurate with price: Suitable prices at this time matches the price, only corruption couriers, in the order only 53, the courier exaggerates, yeah it's okay hehe",Positif
"Fitur Terbaik: Barang sampai batrei di dalamnya udah lepas,  Ntah dari kurirnya atau dari sananya barang sampai ga bisa di pakai,, Setelah aku benerin malah batreinya yang d alam lepas,, Semauga pengemasannya diperbagus ya min","Best features: the item to the battery in it has been released, I don't know from the courier or from where the item can not be used ,, after I correct the battery that is in the past, after all the packaging is possible",Positif
