komentar,hasil_translate,label
"Sepadan dengan Harga: worth it! Fitur Terbaik: Lucu sekali mic nya kecil, ringan  Gampang banget connect ke bluetooth, nyaring suaranya, Hahaha suka sih jadi hemat bisa karaokean dimanapun, kapapun, Ringan sekali, bisa ditenteng dibawa kemanapun, Terimakasih","Commenceted with Price: Worth it!Best Features: Very funny Mic is small, very light easy to connect to Bluetooth, loud voice, hahaha likes to be frugal can be karaoke anywhere, noon, very lightweight, can be carried anywhere, thank you",Positif
Fitur Terbaik: soundx oke suara jernih  Harga murah sekali dg kualitas bagus,Best Features: Sound Use Clear Sounds Very Low Prices With Good Quality,Positif
"Sepadan dengan Harga: speaker Fitur Terbaik: lumayan buat sehari hari  Lumayan bisa dibawa kemanapun kita pergi lumayan enak buat karaoke,, dan lain'","Commensurate with the price: the best feature speaker: Not bad for everyday it can be brought wherever we go pretty good for karaoke ,, and others'",Positif
Fitur Terbaik: baik Sepadan dengan Harga: harga murah kualitas bagus ,Best features: good commensurate with prices: low quality good quality,Positif
Fitur Terbaik: mantap harga murah kualitas lumayan Sepadan dengan Harga: sesuai harga  Recommended seller dan pengiriman barang cepat packing oke,Best features: great cheap quality prices are quite commensurate with prices: according to the price recommended seller and shipping fast packing okay,Positif
"Fitur Terbaik: Pokoknya TOP, Anak kami senang sekali,,,  Sepadan dengan Harga: Bagi kami harga sangat sepadan dg barangnya, bahkan kami bisa mengatakan murah tp ga murahan lho,,,   Kami mau jadi langganan di toko ini, Ayo, buruan beli di toko ini, harga dan barangnya sepadan lho, bisa dibilang murah tp tdk murahan yach,  Pokoknya puas sekali beli di toko ini,  Teman2 kami pun saya sarankan untuk beli di toko ini,  Kualitas produk, pelayanan penjualan dan kecepatan kirim sangat memuaskan kami sbg pembeli, Terima kasih saudara penjual,,, ","Best features: just top, our children are very happy ... commensurate with prices: for us the price is very commensurate with the goods, even we can say cheap but not cheap ,,, we want to be a subscription in this store, come on, hurry up and buy it atThis shop, the price and goods are commensurate, you can say it's cheap but not cheap, just very satisfied to buy at this store, I also suggest to buy at this store, product quality, sales service and sending speed is very satisfying us as a buyer,Thank you sister seller ,,,",Positif
Fitur Terbaik: sangat baik Sepadan dengan Harga: ok  Pengiriman cepat paking juga rapi suaraa oke,Best Features: Very good commensurate with prices: Ok fast shipping packing is also neat Suaraa okay,Positif
"Sepadan dengan Harga: sepadan Fitur Terbaik: baik  Alhamdulillah barangnya udah nyampe,,, barangnya bagus wor'it buat harga segitu,,, kurirnya ramah","Commensurate with the price: the best features are commensurate: Alhamdulillah, the item has arrived ... the goods are good worn for that price ... the courier is friendly",Positif
"Sepadan dengan Harga: lumayan Fitur Terbaik: belum coba  Baru tiba speaker nya, Alhamdulillah aman, Semoga awet, belum dicoba yang mic nya, tidak apa-apa udah memuaskan, thanks min,","Commensurate with the price: Pretty good features: not yet tried just arriving the speaker, thank God it is safe, hopefully durable, not tried the mic, it's okay already satisfactory, thanks min,",Positif
Barang jelek bintang satu,Bad one -star item,Negatif
